title,link,company,salary,location,exp
Kỹ Sư Phần Mềm Nhúng - Senior,https://www.topcv.vn/viec-lam/ky-su-phan-mem-nhung-senior/1884101.html?ta_source=JobSearchList_LinkDetail&u_sr_id=D4syTnFr3lGPd7K0ulCymW7Kmie42uAVjT04o0vl_1759549983,VNPT Technology - Công ty Cổ phần Công nghệ Công nghiệp Bưu chính viễn thông,Thoả thuận,Hà Nội,2 năm
Chuyên Viên Kỹ Thuật Tư Vấn Giải Pháp (Presales)/ Presales Engineer,https://www.topcv.vn/viec-lam/chuyen-vien-ky-thuat-tu-van-giai-phap-presales-presales-engineer/1897397.html?ta_source=JobSearchList_LinkDetail&u_sr_id=D4syTnFr3lGPd7K0ulCymW7Kmie42uAVjT04o0vl_1759549983,CÔNG TY TNHH GIẢI PHÁP BẢO MẬT SỐ,Thoả thuận,Hà Nội,2 năm
Senior Devops (Thu Nhập 18 - 30 Triệu),https://www.topcv.vn/viec-lam/senior-devops-thu-nhap-18-30-trieu/1892974.html?ta_source=JobSearchList_LinkDetail&u_sr_id=D4syTnFr3lGPd7K0ulCymW7Kmie42uAVjT04o0vl_1759549983,CÔNG TY CỔ PHẦN CÔNG NGHỆ VINORSOFT,18 - 30 triệu,"Hồ Chí Minh, Hà Nội",3 năm
Senior Full-Stack Developer,https://www.topcv.vn/viec-lam/senior-full-stack-developer/1897298.html?ta_source=JobSearchList_LinkDetail&u_sr_id=D4syTnFr3lGPd7K0ulCymW7Kmie42uAVjT04o0vl_1759549983,CÔNG TY CỔ PHẦN CÔNG NGHỆ PHẦN MỀM NIK,Thoả thuận,Hồ Chí Minh,5 năm
.Net Developer (Từ 2 - 7 Năm Kinh Nghiệm),https://www.topcv.vn/viec-lam/net-developer-tu-2-7-nam-kinh-nghiem/1894111.html?ta_source=JobSearchList_LinkDetail&u_sr_id=D4syTnFr3lGPd7K0ulCymW7Kmie42uAVjT04o0vl_1759549983,ProCông ty Cổ phần Hệ thống Công nghệ ETC,15 - 40 triệu,Hà Nội,2 năm
"Nhân Viên Kinh Doanh Phần Mềm AI/ Sales B2B, Thu Nhập 15 - 30 Triệu, Nghỉ T7 Và CN - Hà Nội",https://www.topcv.vn/viec-lam/nhan-vien-kinh-doanh-phan-mem-ai-sales-b2b-thu-nhap-15-30-trieu-nghi-t7-va-cn-ha-noi/1891017.html?ta_source=JobSearchList_LinkDetail&u_sr_id=D4syTnFr3lGPd7K0ulCymW7Kmie42uAVjT04o0vl_1759549983,Công ty TNHH Truyền Thông Seodo,15 - 30 triệu,Hà Nội,1 năm
UX/UI Product Owner (Web/App),https://www.topcv.vn/viec-lam/ux-ui-product-owner-web-app/1898090.html?ta_source=JobSearchList_LinkDetail&u_sr_id=D4syTnFr3lGPd7K0ulCymW7Kmie42uAVjT04o0vl_1759549983,Khối Công nghệ thông tin - Viettel Telecom,Thoả thuận,Hà Nội,Không yêu cầu
Kỹ Sư Tích Hợp Hệ Thống,https://www.topcv.vn/viec-lam/ky-su-tich-hop-he-thong/1898207.html?ta_source=JobSearchList_LinkDetail&u_sr_id=D4syTnFr3lGPd7K0ulCymW7Kmie42uAVjT04o0vl_1759549983,Khối Công nghệ thông tin - Viettel Telecom,Thoả thuận,Hà Nội,1 năm
Frontend Developer - Thu Nhập Gross Upto 32 Triệu (Hỗ Trợ Ăn Trưa) Tại Hà Nội,https://www.topcv.vn/viec-lam/frontend-developer-thu-nhap-gross-upto-32-trieu-ho-tro-an-trua-tai-ha-noi/1885683.html?ta_source=JobSearchList_LinkDetail&u_sr_id=D4syTnFr3lGPd7K0ulCymW7Kmie42uAVjT04o0vl_1759549983,Open Reach Tech Hanoi,22 - 32 triệu,Hà Nội,2 năm
Web Creator / Wordpress/ PHP/ CSS,https://www.topcv.vn/viec-lam/web-creator-wordpress-php-css/747970.html?ta_source=JobSearchList_LinkDetail&u_sr_id=D4syTnFr3lGPd7K0ulCymW7Kmie42uAVjT04o0vl_1759549983,Công Ty TNHH Chiroro-Net Việt,18 - 25 triệu,Hồ Chí Minh,2 năm
